ID,galactic year,galaxy,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15â€“64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15â€“24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),Predicted Well-Being Index,Predicted_Well_Being_Index
886447,1004004,Andromeda Galaxy (M31),0.803915224,82.71843372,17299.571480000002,0.691447673,16.08363467,11.28201139,0.7157455340000001,0.745786352,191.8522736,70.13505902,65.90811672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07396995677891478
687564,1005006,Andromeda Galaxy (M31),0.860010945,73.68227882,24971.71631,0.6695502870000001,12.85857693,10.49325964,0.727914917,0.806981598,172.9836302,67.81019596,57.86491904,,449.96761979999997,73.44132459999999,136.1596649,70.46135547,18.465488699999998,331.0949382,68.5783109,75.47158459,71.55993599,78.21707586,93.03771876,88.28813437,,,,,,,,,,32.57592861,,,,234.3928775,405.90173480000004,21.12486487,20.80142591,30437.57716,7941.228217,17.50853189,178.0172917,10.04415852,13.31644847,,,16.25538306,15.50659817,590.8173078,29.73871052,,,90.76146607,,,,,,,52897.060999999994,128.6484896,672.2752494,66.0597515,18.35328221,15.56215583,,,,,,,,,,,0.07206652431880332
494935,1006009,Andromeda Galaxy (M31),0.8106437209999999,68.4565264,15943.829769999998,0.766118058,14.23667582,9.962168663,0.757071748,0.852921087,180.4885186,88.52368038,71.52401014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08598062904722144
378919,1015056,Andromeda Galaxy (M31),0.8371700590000001,68.74240383,20952.63665,0.7571963620000001,14.28149847,10.32988032,0.759207252,0.8011227479999999,186.04054159999998,82.52579779,69.34202684,,929.1439449999999,78.24595778,93.38476053,68.73665381,15.58084716,393.59459810000004,36.33515606,72.22325029,79.10584503,131.8310862,84.19293089,68.27839928,,,,,,,,,,44.46308665,,,,216.1258528,238.9434727,35.05426404,29.18523232,28105.537669999998,4886.800437,6.687446382999999,147.43140469999997,18.00599141,4.171721905,,,14.89729834,14.13312332,290.3727925,33.43643457,,,129.5894293,,,,,20.05230365,,43167.97937,120.76550520000002,725.545553,66.28767963,34.90538451,9.115258004,,,,,,,,24.75373827,,,0.08159077728847165
421878,1004004,Andromeda I,0.749033741,72.09321967,30068.14043,0.641227874,12.51052353,7.132998562999999,0.67361949,0.52856417,155.2962085,73.68808851,55.49407771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044530677739149635
949719,1005006,Andromeda I,0.780314238,73.2608522,25518.34111,0.671946785,12.52333853,7.038226021,0.7079918140000001,0.503933299,209.703246,68.73376432,76.6298239,44.90522096,905.5213984,63.18517233,142.2514735,108.6271795,13.02184405,717.8902355,39.67280016,66.26289752,73.84461014,82.95899522,95.31626347,132.8875765,2.48963716,124.6858501,5.739824577,112.8342294,82.83734576,88.5736375,26.686323699999996,88.55441641,93.92106786,100.06423559999999,50.6487652,1.713144079,15.74810164,242.59477310000003,347.08932769999996,74.77952967,44.32881263,19757.8043,6939.042586,14.408019099999999,80.78514541,32.04389698,12.82161476,5.998209192999999,7.445751305,11.5492632,12.2659543,678.0064242999999,105.7084098,21746.36305,11358.80638,88.06633712,90.20398738,31.00279312,71.24696868,43.9765249,8.552401631,56.8139264,80038.33865,127.60101409999999,461.28535830000004,53.22417204,33.32014859,7.475285614,0.655409926,0.646095306,0.968828418,152.24800349999998,167.7609351,18.33191842,6.107240562,,0.6537175239999999,,0.046614628061314375
898972,1006009,Andromeda I,0.8312309109999999,69.14721364,22288.24338,0.668887961,12.19208301,7.568960178999999,0.6980533059999999,0.484680383,187.2131644,72.09501272,66.31812808,37.04187098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043683020580655416
375574,1015056,Andromeda I,0.930854895,76.37061609999999,20793.515890000002,0.786066022,15.17786995,6.669020074,0.6887839570000001,0.6851135770000001,190.12167659999997,90.2287282,91.53209724,38.68080839,848.2469652999999,63.72120696,100.62629190000001,78.8744367,12.72172069,607.4745322000001,49.03097904,65.38186639999999,81.25668587,58.10856136,80.86208058,118.54273219999999,1.891134155,106.1774085,5.975834709,102.69335629999999,85.30836109,91.27474798,39.2423671,88.49364138,96.29530622,99.12728167,64.06938796,2.464387474,12.33409858,274.9049848,355.6370043,38.25749078,22.91103034,17160.54642,5911.599457,18.83121809,99.06082881,35.26979246,13.00487039,9.69184845,10.00244713,14.88179278,15.89772093,678.6506895,92.67753718,27099.044019999998,21755.574080000002,123.5714007,,48.21479861,78.04835379,36.16800106,8.567683434,57.17762639,104855.27699999999,130.9183536,387.3424213,95.23058890000001,47.03705682,5.714158656,0.669321381,0.7754160640000001,1.061334512,128.5431235,170.6024365,5.169501962,6.464833144,38.22402563,0.619630377,,0.07165260001941899
569844,1011030,Andromeda II,1.098514195,88.47131046,45907.88815,1.000711394,21.368569600000004,13.78115026,1.005821832,1.166782665,76.47186306,117.45581969999999,132.0733498,22.75653742,547.3091927,113.37874240000001,36.94002796,24.894508300000002,39.32925774,493.8130842,49.36704101,95.14741662,89.13177427,35.28339226,41.13348486,38.38077038,2.812707635,39.29161743,22.34484662,37.41741745,62.6877698,62.94468933,81.97255129999999,73.12286659,56.42395902,56.97097312,54.38386728,2.326428329,55.69167678,159.1219127,237.0730912,15.34482009,5.934039815,41707.6514,4869.5885960000005,20.29121114,116.5603287,33.66636,8.559416187,13.31790106,14.98259202,19.490579,19.54467177,360.18547060000003,41.56859553,42835.24013,29986.69251,125.89077079999998,234.63897799999998,80.99460334,80.46971097,24.52893957,8.277076909,67.51654976,137441.5998,101.2265948,197.6576011,183.0696599,91.69855964,12.47893358,0.920078165,1.034845982,1.019627511,61.96127316,75.61005615,6.609588102000001,5.514502955,37.01454815,0.393832925,,0.15368888055153052
654472,1012036,Andromeda II,1.070748576,87.14950915,30312.894630000003,1.04358014,20.89041174,12.63218392,1.022989935,1.010856117,76.51930206,107.85265220000001,125.5836301,20.37470341,854.4070882999999,111.27846159999999,75.72410647,25.26022134,36.70212181,362.1319993,46.67342607,87.67490686,92.11172904,40.92894161,56.61132386,52.05177259,3.2907801389999998,55.78747087,29.71273478,48.94850695,64.97679488,52.93109854,93.85788067,66.77354158,48.38257239,67.5545372,53.05996954,1.936072605,71.08027345,155.337452,224.00728130000002,16.66147604,14.60860109,41279.84372,5759.130534000001,15.92477921,105.0616336,37.54411635,2.234556584,14.09974706,13.22553341,21.47336404,19.34869902,396.31638819999995,47.66465166,62121.01417,25811.589809999998,141.5671263,165.1219508,97.77628086,103.93673659999999,23.44952872,6.71995676,101.0923344,160001.7873,104.8944175,252.8003824,190.2577121,89.97791838,11.5857244,1.053931675,0.995439045,1.0271841609999999,73.63197154,65.82707336,1.199218329,5.403118198,71.20928217,0.329986597,,0.14424786583879456
